X                               1         0.0000000000      0.5000000000      0.0000000000      0.0000000000
GM                            411         0.5781379446      0.0000000000      0.0000000000      0.5000000000
Y                             821         1.1562758893      0.0000000000      0.5000000000      0.0000000000
S                            1198         1.6879757306      0.5000000000      0.5000000000      0.0000000000
X                            1575         2.2196755719      0.5000000000      0.0000000000      0.0000000000
R                            1985         2.7978135166      0.5000000000      0.5000000000      0.5000000000
GM                           2395         3.3759514627      0.0000000000      0.0000000000      0.0000000000
